"","Rank","NOC","Gold","Silver","Bronze","Total","Year"
"1",1,"United States",41,27,27,95,1920
"2",2,"Sweden",19,20,25,64,1920
"3",3,"Finland",15,10,9,34,1920
"4",4,"Great Britain",14,15,13,42,1920
"5",5,"Belgium",14,11,11,36,1920
"6",6,"Norway",13,9,9,31,1920
"7",7,"Italy",13,5,5,23,1920
"8",8,"France",9,19,13,41,1920
"9",9,"Netherlands",4,2,5,11,1920
"10",10,"Denmark",3,9,1,13,1920
"11",11,"South Africa",3,4,3,10,1920
"12",12,"Canada",3,3,3,9,1920
"13",13,"Switzerland",2,2,7,11,1920
"14",14,"Estonia",1,2,0,3,1920
"15",15,"Brazil",1,1,1,3,1920
"16",16,"Australia",0,2,1,3,1920
"17",17,"Japan",0,2,0,2,1920
"18",17,"Spain",0,2,0,2,1920
"19",19,"Greece",0,1,0,1,1920
"20",19,"Luxembourg",0,1,0,1,1920
"21",21,"Czechoslovakia",0,0,2,2,1920
"22",22,"New Zealand",0,0,1,1,1920
"23",1,"United States",45,27,27,99,1924
"24",2,"Finland",14,13,10,37,1924
"25",3,"France",13,15,10,38,1924
"26",4,"Great Britain",9,13,12,34,1924
"27",5,"Italy",8,3,5,16,1924
"28",6,"Switzerland",7,8,10,25,1924
"29",7,"Norway",5,2,3,10,1924
"30",8,"Sweden",4,13,12,29,1924
"31",9,"Netherlands",4,1,5,10,1924
"32",10,"Belgium",3,7,3,13,1924
"33",11,"Australia",3,1,2,6,1924
"34",12,"Denmark",2,5,2,9,1924
"35",13,"Hungary",2,3,4,9,1924
"36",14,"Yugoslavia",2,0,0,2,1924
"37",15,"Czechoslovakia",1,4,5,10,1924
"38",16,"Argentina",1,3,2,6,1924
"39",17,"Estonia",1,1,4,6,1924
"40",18,"South Africa",1,1,1,3,1924
"41",19,"Uruguay",1,0,0,1,1924
"42",20,"Austria",0,3,1,4,1924
"43",20,"Canada",0,3,1,4,1924
"44",22,"Poland",0,1,1,2,1924
"45",23,"Haiti",0,0,1,1,1924
"46",23,"Japan",0,0,1,1,1924
"47",23,"New Zealand",0,0,1,1,1924
"48",23,"Portugal",0,0,1,1,1924
"49",23,"Romania",0,0,1,1,1924
"50",1,"United States",22,18,16,56,1928
"51",2,"Germany",10,7,14,31,1928
"52",3,"Finland",8,8,9,25,1928
"53",4,"Sweden",7,6,12,25,1928
"54",5,"Italy",7,5,7,19,1928
"55",6,"Switzerland",7,4,4,15,1928
"56",7,"France",6,10,5,21,1928
"57",8,"Netherlands",6,9,4,19,1928
"58",9,"Hungary",4,5,0,9,1928
"59",10,"Canada",4,4,7,15,1928
"60",11,"Great Britain",3,10,7,20,1928
"61",12,"Argentina",3,3,1,7,1928
"62",13,"Denmark",3,1,2,6,1928
"63",14,"Czechoslovakia",2,5,2,9,1928
"64",15,"Japan",2,2,1,5,1928
"65",16,"Estonia",2,1,2,5,1928
"66",17,"Egypt",2,1,1,4,1928
"67",18,"Austria",2,0,1,3,1928
"68",19,"Australia",1,2,1,4,1928
"69",19,"Norway",1,2,1,4,1928
"70",21,"Poland",1,1,3,5,1928
"71",21,"Yugoslavia",1,1,3,5,1928
"72",23,"South Africa",1,0,2,3,1928
"73",24,"India",1,0,0,1,1928
"74",24,"Ireland",1,0,0,1,1928
"75",24,"New Zealand",1,0,0,1,1928
"76",24,"Spain",1,0,0,1,1928
"77",24,"Uruguay",1,0,0,1,1928
"78",29,"Belgium",0,1,2,3,1928
"79",30,"Chile",0,1,0,1,1928
"80",30,"Haiti",0,1,0,1,1928
"81",32,"Philippines",0,0,1,1,1928
"82",32,"Portugal",0,0,1,1,1928
"83",1,"United States",44,36,30,110,1932
"84",2,"Italy",12,12,12,36,1932
"85",3,"France",11,5,4,20,1932
"86",4,"Sweden",10,5,9,24,1932
"87",5,"Japan",7,7,4,18,1932
"88",6,"Hungary",6,5,5,16,1932
"89",7,"Germany",5,12,7,24,1932
"90",8,"Finland",5,8,12,25,1932
"91",9,"Great Britain",5,7,5,17,1932
"92",10,"Poland",3,2,4,9,1932
"93",11,"Australia",3,1,1,5,1932
"94",12,"Argentina",3,1,0,4,1932
"95",13,"Canada",2,5,9,16,1932
"96",14,"Netherlands",2,5,1,8,1932
"97",15,"South Africa",2,0,3,5,1932
"98",16,"Ireland",2,0,0,2,1932
"99",17,"Czechoslovakia",1,3,2,6,1932
"100",18,"Austria",1,1,3,5,1932
"101",19,"India",1,0,0,1,1932
"102",20,"Denmark",0,5,3,8,1932
"103",21,"Mexico",0,2,0,2,1932
"104",22,"Latvia",0,1,0,1,1932
"105",22,"New Zealand",0,1,0,1,1932
"106",22,"Switzerland",0,1,0,1,1932
"107",25,"Philippines",0,0,3,3,1932
"108",26,"Belgium",0,0,1,1,1932
"109",26,"Spain",0,0,1,1,1932
"110",26,"Uruguay",0,0,1,1,1932
"111",1,"Germany",38,31,32,101,1936
"112",2,"United States",24,21,12,57,1936
"113",3,"Hungary",10,1,5,16,1936
"114",4,"Italy",9,13,5,27,1936
"115",5,"Finland",8,6,6,20,1936
"116",6,"France",7,6,6,19,1936
"117",7,"Sweden",6,5,10,21,1936
"118",8,"Japan",6,4,10,20,1936
"119",9,"Netherlands",6,4,7,17,1936
"120",10,"Austria",5,7,5,17,1936
"121",11,"Switzerland",4,9,5,18,1936
"122",12,"Great Britain",4,7,3,14,1936
"123",13,"Czechoslovakia",3,5,1,9,1936
"124",14,"Argentina",2,2,3,7,1936
"125",14,"Estonia",2,2,3,7,1936
"126",16,"Egypt",2,1,2,5,1936
"127",17,"Canada",1,3,5,9,1936
"128",18,"Norway",1,3,2,6,1936
"129",19,"Turkey",1,0,1,2,1936
"130",20,"India",1,0,0,1,1936
"131",20,"New Zealand",1,0,0,1,1936
"132",22,"Poland",0,4,5,9,1936
"133",23,"Denmark",0,2,3,5,1936
"134",24,"Latvia",0,1,1,2,1936
"135",25,"Romania",0,1,0,1,1936
"136",25,"South Africa",0,1,0,1,1936
"137",25,"Yugoslavia",0,1,0,1,1936
"138",28,"Belgium",0,0,3,3,1936
"139",28,"Mexico",0,0,3,3,1936
"140",30,"Australia",0,0,1,1,1936
"141",30,"Philippines",0,0,1,1,1936
"142",30,"Portugal",0,0,1,1,1936
"143",1,"United States",38,27,19,84,1948
"144",2,"Sweden",16,11,17,44,1948
"145",3,"France",10,6,13,29,1948
"146",4,"Hungary",10,5,12,27,1948
"147",5,"Italy",8,11,8,27,1948
"148",6,"Finland",8,7,5,20,1948
"149",7,"Turkey",6,4,2,12,1948
"150",8,"Czechoslovakia",6,2,3,11,1948
"151",9,"Switzerland",5,10,5,20,1948
"152",10,"Denmark",5,7,8,20,1948
"153",11,"Netherlands",5,2,9,16,1948
"154",12,"Great Britain",3,14,6,23,1948
"155",13,"Argentina",3,3,1,7,1948
"156",14,"Australia",2,6,5,13,1948
"157",15,"Belgium",2,2,3,7,1948
"158",16,"Egypt",2,2,1,5,1948
"159",17,"Mexico",2,1,2,5,1948
"160",18,"South Africa",2,1,1,4,1948
"161",19,"Norway",1,3,3,7,1948
"162",20,"Jamaica",1,2,0,3,1948
"163",21,"Austria",1,0,3,4,1948
"164",22,"India",1,0,0,1,1948
"165",22,"Peru",1,0,0,1,1948
"166",24,"Yugoslavia",0,2,0,2,1948
"167",25,"Canada",0,1,2,3,1948
"168",26,"Portugal",0,1,1,2,1948
"169",26,"Uruguay",0,1,1,2,1948
"170",28,"Ceylon",0,1,0,1,1948
"171",28,"Cuba",0,1,0,1,1948
"172",28,"Spain",0,1,0,1,1948
"173",28,"Trinidad and Tobago",0,1,0,1,1948
"174",32,"Panama",0,0,2,2,1948
"175",32,"South Korea",0,0,2,2,1948
"176",34,"Brazil",0,0,1,1,1948
"177",34,"Iran",0,0,1,1,1948
"178",34,"Poland",0,0,1,1,1948
"179",34,"Puerto Rico",0,0,1,1,1948
"180",1,"United States",40,19,17,76,1952
"181",2,"Soviet Union",22,30,19,71,1952
"182",3,"Hungary",16,10,16,42,1952
"183",4,"Sweden",12,13,10,35,1952
"184",5,"Italy",8,9,4,21,1952
"185",6,"Czechoslovakia",7,3,3,13,1952
"186",7,"France",6,6,6,18,1952
"187",8,"Finland",6,3,13,22,1952
"188",9,"Australia",6,2,3,11,1952
"189",10,"Norway",3,2,0,5,1952
"190",11,"Switzerland",2,6,6,14,1952
"191",12,"South Africa",2,4,4,10,1952
"192",13,"Jamaica",2,3,0,5,1952
"193",14,"Belgium",2,2,0,4,1952
"194",15,"Denmark",2,1,3,6,1952
"195",16,"Turkey",2,0,1,3,1952
"196",17,"Japan",1,6,2,9,1952
"197",18,"Great Britain",1,2,8,11,1952
"198",19,"Argentina",1,2,2,5,1952
"199",20,"Poland",1,2,1,4,1952
"200",21,"Canada",1,2,0,3,1952
"201",21,"Yugoslavia",1,2,0,3,1952
"202",23,"Romania",1,1,2,4,1952
"203",24,"Brazil",1,0,2,3,1952
"204",24,"New Zealand",1,0,2,3,1952
"205",26,"India",1,0,1,2,1952
"206",27,"Luxembourg",1,0,0,1,1952
"207",28,"Germany",0,7,17,24,1952
"208",29,"Netherlands",0,5,0,5,1952
"209",30,"Iran",0,3,4,7,1952
"210",31,"Chile",0,2,0,2,1952
"211",32,"Austria",0,1,1,2,1952
"212",32,"Lebanon",0,1,1,2,1952
"213",34,"Ireland",0,1,0,1,1952
"214",34,"Mexico",0,1,0,1,1952
"215",34,"Spain",0,1,0,1,1952
"216",37,"South Korea",0,0,2,2,1952
"217",37,"Trinidad and Tobago",0,0,2,2,1952
"218",37,"Uruguay",0,0,2,2,1952
"219",40,"Bulgaria",0,0,1,1,1952
"220",40,"Egypt",0,0,1,1,1952
"221",40,"Portugal",0,0,1,1,1952
"222",40,"Venezuela",0,0,1,1,1952
"223",1,"Soviet Union",37,29,32,98,1956
"224",2,"United States",32,25,17,74,1956
"225",3,"Australia",13,8,14,35,1956
"226",4,"Hungary",9,10,7,26,1956
"227",5,"Italy",8,8,9,25,1956
"228",6,"Sweden",8,5,6,19,1956
"229",7,"United Team of Germany",6,13,7,26,1956
"230",8,"Great Britain",6,7,11,24,1956
"231",9,"Romania",5,3,5,13,1956
"232",10,"Japan",4,10,5,19,1956
"233",11,"France",4,4,6,14,1956
"234",12,"Turkey",3,2,2,7,1956
"235",13,"Finland",3,1,11,15,1956
"236",14,"Iran",2,2,1,5,1956
"237",15,"Canada",2,1,3,6,1956
"238",16,"New Zealand",2,0,0,2,1956
"239",17,"Poland",1,4,4,9,1956
"240",18,"Czechoslovakia",1,4,1,6,1956
"241",19,"Bulgaria",1,3,1,5,1956
"242",20,"Denmark",1,2,1,4,1956
