NOC,Year,Score_2028,Score_2024,Unique_Names,Innovation_Coeff,Team_Avg
AFG,2028,1.510826518,2.8000000000000003,6,0.581524988201524,0.46666666666666673
ALB,2028,5.663449459,7.08086476098967,8,0.5814205426389412,0.8851080951237088
ALG,2028,47.56962182,50.37330800652461,46,0.5802915049939742,1.0950719131853177
AND,2028,2.066820949,1.6550000000000002,2,0.582910350014935,0.8275000000000001
ANG,2028,11.28761864,10.365,25,0.5833263652602488,0.4146
ANT,2028,0.04591996,1.99,5,0.5809916045993965,0.398
ARG,2028,225.4809856,134.03008934271816,143,0.6570564237244143,0.9372733520469801
ARM,2028,38.22923766,28.65378402542705,15,0.5903736000781666,1.9102522683618033
ARU,2028,1.641096347,2.75,6,0.5816718075753299,0.4583333333333333
ASA,2028,1.249747663,0.805,2,0.5829371669235535,0.4025
AUS,2028,1557.101481,1413.087812940791,474,0.6998657683844175,2.9811979175966057
AUT,2028,52.97564844,87.49974166791121,84,0.5544570637870414,1.0416635912846572
AZE,2028,82.71067225,53.14553430886696,48,0.6066540445027663,1.1071986314347282
BAH,2028,76.43999033,16.019566497136676,19,0.6317838944524524,0.8431350787966672
BAN,2028,2.382448813,1.905,5,0.5829638001233095,0.381
BAR,2028,4.178597936,1.6100961114893275,4,0.5846668421434188,0.4025240278723319
BDI,2028,3.994312303,3.1012814865243685,7,0.5833022676852623,0.4430402123606241
BEL,2028,-5.784359161,182.45323474946247,177,0.4292662870446755,1.0308092358726693
BEN,2028,1.928286551,1.99,5,0.5825246835716062,0.398
BER,2028,1.505186425,6.053240997229917,8,0.5788708175972161,0.7566551246537396
BHU,2028,0.406120293,1.185,3,0.5819405930363327,0.395
BIH,2028,2.422969023,2.46,5,0.5825447860208243,0.492
BIZ,2028,1.042716302,0.42,1,0.5830821121108875,0.42
BOL,2028,3.71184575,1.53,4,0.5843519330815263,0.3825
BOT,2028,28.45958248,53.649062112049975,14,0.5620595679357767,3.8320758651464266
BRA,2028,592.6350071,547.013621609809,289,0.6197309316552196,1.8927806976117958
BRN,2028,20.51823683,25.14693279561117,14,0.57880513983547,1.796209485400798
BRU,2028,1.233651462,1.145,3,0.5826471471152722,0.38166666666666665
BUL,2028,221.1197473,58.84981949362936,46,0.7147344385273063,1.279343902035421
BUR,2028,3.743315684,4.035096111489327,8,0.5823373072929323,0.5043870139361659
CAF,2028,1.77010609,1.53,4,0.5827704981705559,0.3825
CAM,2028,1.155980183,1.145,3,0.5825838883403084,0.38166666666666665
CAN,2028,643.1511377,693.5713737380138,332,0.541510572706117,2.089070402825343
CAY,2028,0.775512287,1.91,4,0.5816509708347092,0.4775
CGO,2028,1.920360694,1.61,4,0.5828277164916886,0.4025
CHA,2028,0.957367131,1.185,3,0.5823895517778848,0.395
CHI,2028,30.92989299,30.392192818770617,48,0.5830128713779684,0.6331706837243879
CHN,2028,1862.609703,1822.123006678314,396,0.6155490236088778,4.601320723935136
CIV,2028,11.88451408,10.770410094628687,13,0.5834823190249824,0.8284930842022067
CMR,2028,24.03175709,2.3806407432621843,6,0.6002085305683441,0.39677345721036406
COD,2028,1.618694163,2.335,6,0.5819915558428155,0.38916666666666666
COK,2028,3.139255211,0.805,2,0.5844760617931929,0.4025
COL,2028,71.04557603,65.48226739286766,88,0.5871059394862067,0.7441166749189506
COM,2028,1.601227121,1.905,4,0.5823275401331642,0.47625
CPV,2028,3.554206218,4.515420904945633,7,0.5817920917162448,0.6450601292779475
CRC,2028,10.4393788,2.4158226605590354,6,0.5891096691158413,0.40263711009317255
CRO,2028,164.2202858,141.08192818059678,73,0.6014198027682585,1.93262915315886
CUB,2028,360.0019782,69.83464085613537,61,0.8188994986699571,1.1448301779694323
CYP,2028,14.6847285,14.672680067001677,15,0.5825847583682919,0.9781786711334451
CZE,2028,144.4895097,146.84141901219465,111,0.5806594511897245,1.3228956667765284
DEN,2028,196.2355206,272.7989295221451,128,0.5202184669031693,2.1312416368917586
DJI,2028,1.485356076,2.7501922229786557,7,0.581544809556588,0.3928846032826651
DMA,2028,5.792735357,7.610320371631093,4,0.5810946274985541,1.9025800929077732
DOM,2028,54.73488685,46.75135655563247,59,0.5890770703745969,0.7923958738242791
ECU,2028,29.63949628,49.09505304610399,40,0.5667295172517516,1.2273763261525998
EGY,2028,65.11762699,100.39635438523447,155,0.5538424578015942,0.6477184153886095
EOR,2028,39.83679639,22.120420904945632,37,0.5970039111785914,0.5978492136471792
ERI,2028,6.515485006,4.695384445957311,11,0.5840573124976968,0.4268531314506646
ESA,2028,2.462986395,3.505,8,0.5817262856597419,0.438125
ESP,2028,628.9644898,632.4775694966758,400,0.5797137449133212,1.5811939237416894
EST,2028,39.11407618,13.162081400605777,24,0.6037113478828149,0.548420058358574
ETH,2028,65.98726657,38.46740639141404,33,0.6049882837816183,1.165678981558001
FIJ,2028,67.74574087,82.74593406593407,36,0.5703581537966386,2.2984981684981687
FIN,2028,-100.8165272,26.1065635749046,57,0.47920341188425086,0.4580098872790281
FRA,2028,859.5993925,1574.904757883984,601,0.0,2.6204738067953146
FSM,2028,1.275806809,1.225,3,0.5826163248291127,0.4083333333333334
GAB,2028,4.711779629,1.9170270270270269,5,0.5848511103465583,0.38340540540540535
GAM,2028,0.872508445,3.1,7,0.5807607822738166,0.4428571428571429
GBR,2028,1172.605342,1456.8118794220552,343,0.3511051201464426,4.247264954583251
GBS,2028,2.209812998,2.3600000000000003,6,0.5824526269677813,0.39333333333333337
GEO,2028,84.34938906,84.15260583834505,28,0.5827352141941015,3.005450208512323
GEQ,2028,0.329966603,1.145,3,0.581911147941965,0.38166666666666665
GER,2028,1489.471661,976.942958392832,457,0.9999999999999999,2.1377307623475534
GHA,2028,8.746848804,4.23,9,0.5862536583348582,0.47000000000000003
GRE,2028,145.4464726,115.83434643212452,100,0.6066923137021373,1.1583434643212451
GRN,2028,12.43551932,11.67160185815546,6,0.5831971123080033,1.9452669763592434
GUA,2028,15.65582176,14.15388036130411,16,0.5837981902191732,0.8846175225815068
GUI,2028,3.235309542,9.605,25,0.577387200280138,0.38420000000000004
GUM,2028,-1.203829107,3.58,7,0.5786787928432884,0.5114285714285715
GUY,2028,2.781573166,2.035,5,0.583182986379837,0.40700000000000003
HAI,2028,0.77013684,4.600192222978656,7,0.5794555865069321,0.6571703175683794
HKG,2028,50.54321618,57.20035280192045,34,0.5771530919658193,1.6823633177035426
HON,2028,8.89057347,1.605,4,0.5885086248145959,0.40125
HUN,2028,535.9096649,357.2142676413564,177,0.728112035615117,2.018159704188454
INA,2028,56.65845169,36.3074394021786,29,0.5991496708308525,1.2519806690406414
IND,2028,63.17307869,114.28170723916826,112,0.5409499167273488,1.0203723860640024
IRI,2028,66.40306589,71.90333625960339,41,0.5780952927749318,1.7537399087708145
IRL,2028,77.23726166,119.11764826131645,143,0.5484657873066283,0.8329905472819332
IRQ,2028,4.512828841,8.780270758122743,23,0.5790993604129129,0.3817509025270758
ISL,2028,20.79685527,2.8401441672339915,5,0.5971996506713918,0.5680288334467983
